,Language,1st_Language,2nd_Language,3rd_Language,4th_Language,5th_Language,6th_Language,7th_Language
747,"English,Portuguese,Spanish,French",English,Portuguese,Spanish,French,,,
748,English,English,,,,,,
749,"English,Russian",English,Russian,,,,,
750,,,,,,,,
751,Japanese,Japanese,,,,,,
752,English,English,,,,,,
753,,,,,,,,
754,"Hindi,Urdu",Hindi,Urdu,,,,,
755,English,English,,,,,,
756,English,English,,,,,,
757,English,English,,,,,,
758,"English,Aboriginal",English,Aboriginal,,,,,
759,"English,Spanish",English,Spanish,,,,,
760,English,English,,,,,,
761,English,English,,,,,,
762,"English,Tagalog,Russian",English,Tagalog,Russian,,,,
763,English,English,,,,,,
764,"English,Danish",English,Danish,,,,,
765,English,English,,,,,,
766,"English,Chinese,Russian,Czech,Bulgarian,Japanese,German,Spanish",English,Chinese,Russian,Czech,Bulgarian,Japanese,German
767,English,English,,,,,,
768,English,English,,,,,,
769,"English,American Sign Language",English,American Sign Language,,,,,
770,"French,English,Italian,German,Yiddish",French,English,Italian,German,Yiddish,,
771,English,English,,,,,,
772,English,English,,,,,,
773,English,English,,,,,,
774,English,English,,,,,,
775,Hindi,Hindi,,,,,,
776,English,English,,,,,,
777,English,English,,,,,,
778,English,English,,,,,,
779,Hindi,Hindi,,,,,,
780,English,English,,,,,,
781,English,English,,,,,,
782,English,English,,,,,,
783,English,English,,,,,,
784,English,English,,,,,,
785,"Arabic,French,English",Arabic,French,English,,,,
786,"Hindi,English,Marathi",Hindi,English,Marathi,,,,
787,"English,American Sign Language",English,American Sign Language,,,,,
788,English,English,,,,,,
789,Japanese,Japanese,,,,,,
790,English,English,,,,,,
791,English,English,,,,,,
792,Spanish,Spanish,,,,,,
793,English,English,,,,,,
794,Turkish,Turkish,,,,,,
795,"German,Yiddish,Hebrew",German,Yiddish,Hebrew,,,,
796,English,English,,,,,,
797,English,English,,,,,,
798,"Korean,English",Korean,English,,,,,
799,Hindi,Hindi,,,,,,
800,English,English,,,,,,
801,"English,French",English,French,,,,,
802,English,English,,,,,,
803,English,English,,,,,,
804,English,English,,,,,,
805,English,English,,,,,,
806,Spanish,Spanish,,,,,,
807,"French,English,Italian",French,English,Italian,,,,
808,English,English,,,,,,
809,English,English,,,,,,
810,English,English,,,,,,
811,English,English,,,,,,
812,English,English,,,,,,
813,"English,Swedish",English,Swedish,,,,,
814,"English,Afrikaans",English,Afrikaans,,,,,
815,English,English,,,,,,
816,Hindi,Hindi,,,,,,
817,"Spanish,English,Basque",Spanish,English,Basque,,,,
818,English,English,,,,,,
819,Hindi,Hindi,,,,,,
820,English,English,,,,,,
821,"English,German",English,German,,,,,
822,English,English,,,,,,
823,English,English,,,,,,
824,Hindi,Hindi,,,,,,
825,English,English,,,,,,
826,English,English,,,,,,
827,English,English,,,,,,
828,"Korean,English,Spanish,Danish,French,German,Russian,Chinese,Arabic,Filipino,Mandarin",Korean,English,Spanish,Danish,French,German,Russian
829,"English,Danish,German",English,Danish,German,,,,
830,English,English,,,,,,
831,"English,Spanish",English,Spanish,,,,,
832,English,English,,,,,,
833,English,English,,,,,,
834,"Arabic,French",Arabic,French,,,,,
835,English,English,,,,,,
836,"English,Dutch",English,Dutch,,,,,
837,English,English,,,,,,
838,English,English,,,,,,
839,Japanese,Japanese,,,,,,
840,English,English,,,,,,
841,Hindi,Hindi,,,,,,
842,English,English,,,,,,
843,English,English,,,,,,
844,English,English,,,,,,
845,"English,Spanish,Sanskrit",English,Spanish,Sanskrit,,,,
846,"English,Irish",English,Irish,,,,,
847,"English,German",English,German,,,,,
848,English,English,,,,,,
849,English,English,,,,,,
850,Urdu,Urdu,,,,,,
851,English,English,,,,,,
852,"English,German,Hungarian",English,German,Hungarian,,,,
853,English,English,,,,,,
854,English,English,,,,,,
855,English,English,,,,,,
856,English,English,,,,,,
857,English,English,,,,,,
858,Hindi,Hindi,,,,,,
859,Spanish,Spanish,,,,,,
860,Turkish,Turkish,,,,,,
861,Mandarin,Mandarin,,,,,,
862,English,English,,,,,,
863,Spanish,Spanish,,,,,,
864,English,English,,,,,,
865,English,English,,,,,,
866,English,English,,,,,,
867,Japanese,Japanese,,,,,,
868,English,English,,,,,,
869,English,English,,,,,,
870,"Spanish,English",Spanish,English,,,,,
871,English,English,,,,,,
872,Korean,Korean,,,,,,
873,"English,Spanish",English,Spanish,,,,,
874,English,English,,,,,,
875,English,English,,,,,,
876,"Tagalog,Filipino,English",Tagalog,Filipino,English,,,,
877,Hindi,Hindi,,,,,,
878,Spanish,Spanish,,,,,,
879,English,English,,,,,,
880,Japanese,Japanese,,,,,,
881,English,English,,,,,,
882,English,English,,,,,,
883,English,English,,,,,,
884,Hindi,Hindi,,,,,,
885,English,English,,,,,,
886,English,English,,,,,,
887,English,English,,,,,,
888,"English,Mandarin,Korean",English,Mandarin,Korean,,,,
889,English,English,,,,,,
890,English,English,,,,,,
891,"English,French",English,French,,,,,
892,Arabic,Arabic,,,,,,
893,English,English,,,,,,
894,English,English,,,,,,
895,English,English,,,,,,
896,English,English,,,,,,
897,"English,Italian",English,Italian,,,,,
898,Hindi,Hindi,,,,,,
899,English,English,,,,,,
900,English,English,,,,,,
901,Spanish,Spanish,,,,,,
902,"English,French",English,French,,,,,
903,English,English,,,,,,
904,Arabic,Arabic,,,,,,
905,English,English,,,,,,
906,English,English,,,,,,
907,"Spanish,English",Spanish,English,,,,,
908,English,English,,,,,,
909,"Hindi,Urdu",Hindi,Urdu,,,,,
910,English,English,,,,,,
911,"English,Spanish",English,Spanish,,,,,
912,Tamil,Tamil,,,,,,
913,"English,Chinese,Spanish,French,Ukrainian",English,Chinese,Spanish,French,Ukrainian,,
914,English,English,,,,,,
915,English,English,,,,,,
916,English,English,,,,,,
917,English,English,,,,,,
918,English,English,,,,,,
919,English,English,,,,,,
920,English,English,,,,,,
921,Thai,Thai,,,,,,
922,"Spanish,English",Spanish,English,,,,,
923,"Hindi,English",Hindi,English,,,,,
924,"English,Indonesian",English,Indonesian,,,,,
925,English,English,,,,,,
926,Hindi,Hindi,,,,,,
927,Japanese,Japanese,,,,,,
928,"English,Swedish,French,Vietnamese,Russian,Hebrew",English,Swedish,French,Vietnamese,Russian,Hebrew,
929,Hindi,Hindi,,,,,,
930,English,English,,,,,,
931,Hindi,Hindi,,,,,,
932,English,English,,,,,,
933,English,English,,,,,,
934,English,English,,,,,,
935,English,English,,,,,,
936,English,English,,,,,,
937,"English,Spanish,Hebrew,Italian,Russian",English,Spanish,Hebrew,Italian,Russian,,
938,English,English,,,,,,
939,English,English,,,,,,
940,English,English,,,,,,
941,English,English,,,,,,
942,English,English,,,,,,
943,Hindi,Hindi,,,,,,
944,English,English,,,,,,
945,"English,Hebrew",English,Hebrew,,,,,
946,"Korean,English,Thai",Korean,English,Thai,,,,
947,Hindi,Hindi,,,,,,
948,German,German,,,,,,
949,English,English,,,,,,
950,French,French,,,,,,
951,"Cantonese,Mandarin",Cantonese,Mandarin,,,,,
952,English,English,,,,,,
953,"English,French",English,French,,,,,
954,Japanese,Japanese,,,,,,
955,"Filipino,Tagalog,English,Spanish",Filipino,Tagalog,English,Spanish,,,
956,"English,Hindi",English,Hindi,,,,,
957,Spanish,Spanish,,,,,,
958,English,English,,,,,,
959,"Tamil,Telugu",Tamil,Telugu,,,,,
960,"Cantonese,Mandarin,English",Cantonese,Mandarin,English,,,,
961,English,English,,,,,,
962,Japanese,Japanese,,,,,,
963,"English,Greek,Spanish",English,Greek,Spanish,,,,
964,Hindi,Hindi,,,,,,
965,English,English,,,,,,
966,Hindi,Hindi,,,,,,
967,"English,Thai",English,Thai,,,,,
968,Arabic,Arabic,,,,,,
969,"Spanish,English",Spanish,English,,,,,
970,Telugu,Telugu,,,,,,
971,Spanish,Spanish,,,,,,
972,"English,Catalan,Spanish",English,Catalan,Spanish,,,,
973,English,English,,,,,,
974,English,English,,,,,,
975,English,English,,,,,,
976,"English,Russian",English,Russian,,,,,
977,English,English,,,,,,
978,English,English,,,,,,
979,"English,Cantonese,Mandarin,Portuguese",English,Cantonese,Mandarin,Portuguese,,,
980,"English,French",English,French,,,,,
981,"English,Chinese",English,Chinese,,,,,
982,English,English,,,,,,
983,English,English,,,,,,
984,"Flemish,Dutch",Flemish,Dutch,,,,,
985,Hindi,Hindi,,,,,,
986,English,English,,,,,,
987,English,English,,,,,,
988,Japanese,Japanese,,,,,,
989,English,English,,,,,,
990,English,English,,,,,,
991,English,English,,,,,,
992,Korean,Korean,,,,,,
993,"English,Hawaiian,Spanish",English,Hawaiian,Spanish,,,,
994,English,English,,,,,,
995,English,English,,,,,,
996,English,English,,,,,,
997,English,English,,,,,,
998,English,English,,,,,,
999,"Indonesian,German",Indonesian,German,,,,,
1000,English,English,,,,,,
1001,English,English,,,,,,
1002,"Russian,English,French",Russian,English,French,,,,
1003,English,English,,,,,,
1004,English,English,,,,,,
1005,Hindi,Hindi,,,,,,
1006,English,English,,,,,,
1007,Japanese,Japanese,,,,,,
1008,Telugu,Telugu,,,,,,
1009,"English,German,Persian,Hebrew,Kurdish,French",English,German,Persian,Hebrew,Kurdish,French,
1010,"English,Portuguese,Swedish",English,Portuguese,Swedish,,,,
1011,English,English,,,,,,
1012,Tamil,Tamil,,,,,,
1013,English,English,,,,,,
1014,English,English,,,,,,
1015,"Japanese,English",Japanese,English,,,,,
1016,English,English,,,,,,
1017,Italian,Italian,,,,,,
1018,Spanish,Spanish,,,,,,
1019,Spanish,Spanish,,,,,,
1020,English,English,,,,,,
1021,"English,Mandarin,Thai",English,Mandarin,Thai,,,,
1022,English,English,,,,,,
1023,English,English,,,,,,
1024,English,English,,,,,,
1025,Spanish,Spanish,,,,,,
1026,English,English,,,,,,
1027,"Filipino,Tagalog",Filipino,Tagalog,,,,,
1028,English,English,,,,,,
1029,French,French,,,,,,
1030,"English,Spanish,Italian,French",English,Spanish,Italian,French,,,
1031,French,French,,,,,,
1032,German,German,,,,,,
1033,Japanese,Japanese,,,,,,
1034,English,English,,,,,,
1035,English,English,,,,,,
1036,English,English,,,,,,
1037,English,English,,,,,,
1038,English,English,,,,,,
1039,Malayalam,Malayalam,,,,,,
1040,English,English,,,,,,
1041,Hindi,Hindi,,,,,,
1042,English,English,,,,,,
1043,English,English,,,,,,
1044,English,English,,,,,,
1045,English,English,,,,,,
1046,English,English,,,,,,
1047,English,English,,,,,,
1048,English,English,,,,,,
1049,English,English,,,,,,
1050,English,English,,,,,,
1051,"English,Spanish",English,Spanish,,,,,
1052,English,English,,,,,,
1053,Spanish,Spanish,,,,,,
1054,"English,Armenian",English,Armenian,,,,,
1055,English,English,,,,,,
1056,English,English,,,,,,
1057,Malayalam,Malayalam,,,,,,
1058,Arabic,Arabic,,,,,,
1059,Arabic,Arabic,,,,,,
1060,English,English,,,,,,
1061,English,English,,,,,,
1062,Spanish,Spanish,,,,,,
1063,"Spanish,French,Afrikaans",Spanish,French,Afrikaans,,,,
1064,English,English,,,,,,
1065,English,English,,,,,,
1066,,,,,,,,
1067,"English,Serbo-Croatian,Russian",English,Serbo-Croatian,Russian,,,,
1068,English,English,,,,,,
1069,English,English,,,,,,
1070,English,English,,,,,,
1071,"Spanish,English",Spanish,English,,,,,
1072,English,English,,,,,,
1073,"English,German",English,German,,,,,
1074,English,English,,,,,,
1075,"Japanese,English",Japanese,English,,,,,
1076,English,English,,,,,,
1077,"English,Japanese",English,Japanese,,,,,
1078,English,English,,,,,,
1079,English,English,,,,,,
1080,English,English,,,,,,
1081,English,English,,,,,,
1082,English,English,,,,,,
1083,English,English,,,,,,
1084,"Spanish,English",Spanish,English,,,,,
1085,Tamil,Tamil,,,,,,
1086,English,English,,,,,,
1087,English,English,,,,,,
1088,"English,Spanish",English,Spanish,,,,,
1089,English,English,,,,,,
1090,"Hindi,English",Hindi,English,,,,,
1091,English,English,,,,,,
1092,English,English,,,,,,
1093,English,English,,,,,,
1094,English,English,,,,,,
1095,Japanese,Japanese,,,,,,
1096,English,English,,,,,,
1097,Spanish,Spanish,,,,,,
1098,"English,Italian,French,Danish",English,Italian,French,Danish,,,
1099,English,English,,,,,,
1100,English,English,,,,,,
1101,English,English,,,,,,
1102,"English,Russian,Spanish,Italian",English,Russian,Spanish,Italian,,,
1103,English,English,,,,,,
1104,English,English,,,,,,
1105,English,English,,,,,,
1106,English,English,,,,,,
1107,Hindi,Hindi,,,,,,
1108,"Korean,Mandarin,English",Korean,Mandarin,English,,,,
1109,English,English,,,,,,
1110,Hindi,Hindi,,,,,,
1111,Hindi,Hindi,,,,,,
1112,English,English,,,,,,
1113,Tamil,Tamil,,,,,,
1114,"English,Spanish,Russian,Italian",English,Spanish,Russian,Italian,,,
1115,English,English,,,,,,
1116,"Hindi,Marathi,Bangla,English,Portuguese",Hindi,Marathi,Bangla,English,Portuguese,,
1117,"Hindi,English,Chinese,Spanish",Hindi,English,Chinese,Spanish,,,
1118,English,English,,,,,,
1119,Japanese,Japanese,,,,,,
1120,English,English,,,,,,
1121,English,English,,,,,,
1122,English,English,,,,,,
1123,English,English,,,,,,
1124,"English,Spanish,French",English,Spanish,French,,,,
1125,"Swedish,English",Swedish,English,,,,,
1126,English,English,,,,,,
1127,"English,Japanese",English,Japanese,,,,,
1128,"Mandarin,English,Min Nan",Mandarin,English,Min Nan,,,,
1129,"English,Hindi",English,Hindi,,,,,
1130,Hindi,Hindi,,,,,,
1131,English,English,,,,,,
1132,"Spanish,English",Spanish,English,,,,,
1133,English,English,,,,,,
1134,English,English,,,,,,
1135,"Arabic,English",Arabic,English,,,,,
1136,English,English,,,,,,
1137,English,English,,,,,,
1138,Hindi,Hindi,,,,,,
1139,Hindi,Hindi,,,,,,
1140,English,English,,,,,,
1141,English,English,,,,,,
1142,"English,Spanish,Catalan",English,Spanish,Catalan,,,,
1143,Thai,Thai,,,,,,
1144,English,English,,,,,,
1145,Hindi,Hindi,,,,,,
1146,English,English,,,,,,
1147,Spanish,Spanish,,,,,,
1148,Arabic,Arabic,,,,,,
1149,"English,French",English,French,,,,,
1150,English,English,,,,,,
1151,English,English,,,,,,
1152,"Spanish,English,Basque",Spanish,English,Basque,,,,
1153,Hindi,Hindi,,,,,,
1154,Hindi,Hindi,,,,,,
1155,English,English,,,,,,
1156,English,English,,,,,,
1157,Japanese,Japanese,,,,,,
1158,English,English,,,,,,
1159,English,English,,,,,,
1160,English,English,,,,,,
1161,English,English,,,,,,
1162,"French,Lingala",French,Lingala,,,,,
1163,"English,Arabic",English,Arabic,,,,,
1164,English,English,,,,,,
1165,English,English,,,,,,
1166,"Quechua,Spanish",Quechua,Spanish,,,,,
1167,Hindi,Hindi,,,,,,
1168,"Spanish,Polish",Spanish,Polish,,,,,
1169,English,English,,,,,,
1170,Hindi,Hindi,,,,,,
1171,"Filipino,Tagalog",Filipino,Tagalog,,,,,
1172,French,French,,,,,,
1173,Japanese,Japanese,,,,,,
1174,English,English,,,,,,
1175,Hindi,Hindi,,,,,,
1176,"Italian,French,German",Italian,French,German,,,,
1177,Hindi,Hindi,,,,,,
1178,English,English,,,,,,
1179,English,English,,,,,,
1180,English,English,,,,,,
1181,English,English,,,,,,
1182,English,English,,,,,,
1183,English,English,,,,,,
1184,"English,Russian",English,Russian,,,,,
1185,Spanish,Spanish,,,,,,
1186,"Ukrainian Sign Language,Ukrainian",Ukrainian Sign Language,Ukrainian,,,,,
1187,English,English,,,,,,
1188,English,English,,,,,,
1189,English,English,,,,,,
1190,Turkish,Turkish,,,,,,
1191,English,English,,,,,,
1192,English,English,,,,,,
1193,"English,German",English,German,,,,,
1194,English,English,,,,,,
1195,English,English,,,,,,
1196,"English,French,Russian",English,French,Russian,,,,
1197,English,English,,,,,,
1198,English,English,,,,,,
1199,"English,American Sign Language",English,American Sign Language,,,,,
1200,English,English,,,,,,
1201,"English,Spanish",English,Spanish,,,,,
1202,English,English,,,,,,
1203,English,English,,,,,,
1204,Arabic,Arabic,,,,,,
1205,Hindi,Hindi,,,,,,
1206,English,English,,,,,,
1207,English,English,,,,,,
1208,Italian,Italian,,,,,,
1209,"Romanian,English",Romanian,English,,,,,
1210,English,English,,,,,,
1211,"English,Hungarian",English,Hungarian,,,,,
1212,English,English,,,,,,
1213,Telugu,Telugu,,,,,,
1214,English,English,,,,,,
1215,English,English,,,,,,
1216,"English,German,French,Latin",English,German,French,Latin,,,
1217,Hindi,Hindi,,,,,,
1218,Korean,Korean,,,,,,
1219,Korean,Korean,,,,,,
1220,English,English,,,,,,
1221,English,English,,,,,,
1222,Korean,Korean,,,,,,
1223,"English,Spanish",English,Spanish,,,,,
1224,English,English,,,,,,
1225,"English,Xhosa",English,Xhosa,,,,,
1226,"English,Spanish",English,Spanish,,,,,
1227,Hindi,Hindi,,,,,,
1228,Polish,Polish,,,,,,
1229,"English,French",English,French,,,,,
1230,English,English,,,,,,
1231,English,English,,,,,,
1232,English,English,,,,,,
1233,English,English,,,,,,
1234,English,English,,,,,,
1235,Tamil,Tamil,,,,,,
1236,English,English,,,,,,
1237,English,English,,,,,,
1238,English,English,,,,,,
1239,English,English,,,,,,
1240,English,English,,,,,,
1241,"English,Spanish",English,Spanish,,,,,
1242,English,English,,,,,,
1243,English,English,,,,,,
1244,English,English,,,,,,
1245,English,English,,,,,,
1246,French,French,,,,,,
1247,English,English,,,,,,
1248,English,English,,,,,,
1249,Spanish,Spanish,,,,,,
1250,Japanese,Japanese,,,,,,
1251,"English,Spanish",English,Spanish,,,,,
1252,English,English,,,,,,
1253,Korean,Korean,,,,,,
1254,Korean,Korean,,,,,,
1255,"Chinese,English,Mandarin,Min Nan",Chinese,English,Mandarin,Min Nan,,,
1256,"Spanish,English",Spanish,English,,,,,
1257,English,English,,,,,,
1258,English,English,,,,,,
1259,English,English,,,,,,
1260,"English,French",English,French,,,,,
1261,Hindi,Hindi,,,,,,
1262,"English,Spanish",English,Spanish,,,,,
1263,English,English,,,,,,
1264,Spanish,Spanish,,,,,,
1265,"Hindi,English",Hindi,English,,,,,
1266,,,,,,,,
1267,Hindi,Hindi,,,,,,
1268,English,English,,,,,,
1269,English,English,,,,,,
1270,English,English,,,,,,
1271,English,English,,,,,,
1272,English,English,,,,,,
1273,English,English,,,,,,
1274,"English,French,Ukrainian",English,French,Ukrainian,,,,
1275,Hindi,Hindi,,,,,,
1276,English,English,,,,,,
1277,English,English,,,,,,
1278,"Arabic,English",Arabic,English,,,,,
1279,English,English,,,,,,
1280,Spanish,Spanish,,,,,,
1281,English,English,,,,,,
1282,Punjabi,Punjabi,,,,,,
1283,English,English,,,,,,
1284,,,,,,,,
1285,English,English,,,,,,
1286,Hindi,Hindi,,,,,,
1287,Hindi,Hindi,,,,,,
1288,Japanese,Japanese,,,,,,
1289,English,English,,,,,,
1290,Hindi,Hindi,,,,,,
1291,English,English,,,,,,
1292,English,English,,,,,,
1293,"Polish,English,Italian",Polish,English,Italian,,,,
1294,"English,Danish",English,Danish,,,,,
1295,English,English,,,,,,
1296,French,French,,,,,,
1297,English,English,,,,,,
1298,English,English,,,,,,
1299,English,English,,,,,,
1300,English,English,,,,,,
